Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
edentypi,"Edenttellina typica  Gatliff & Gabriel, 1911",Edenttellina typica,Edenttellina,typica,,,"Gatliff & Gabriel, 1911",,,,,
kalopelu,Kaloplocamus peludo  Valles & Gosliner 2006,Kaloplocamus peludo,Kaloplocamus,peludo,,,Valles & Gosliner 2006,,,,,
plocceyl,"Plocamopherus ceylonicus (Kelaart, 1858)",Plocamopherus ceylonicus,Plocamopherus,ceylonicus,,,"(Kelaart, 1858)",,,,,
bertstel,"Berthella stellata (Risso, 1826)",Berthella stellata,Berthella,stellata,,,"(Risso, 1826)",,,,,
retihalg,"Reticulidia halgerda Brunckhorst & Burn, 1990",Reticulidia halgerda,Reticulidia,halgerda,,,"Brunckhorst & Burn, 1990",,,,,
trapgibb,"Trapania gibbera Gosliner & Fahey, 2008",Trapania gibbera,Trapania,gibbera,,,"Gosliner & Fahey, 2008",,,,,
hypssp8,Hypselodoris sp. 8,Hypselodoris sp. 8,Hypselodoris,sp. 8,,,,,,,,
traphisp,"Trapania hispalensis Cervera & Garcia-Gomez, 1989",Trapania hispalensis,Trapania,hispalensis,,,"Cervera & Garcia-Gomez, 1989",,,,,
okenmexi,"Okenia mexicorum  Gosliner and Bertsch, 2004",Okenia mexicorum,Okenia,mexicorum,,,"Gosliner and Bertsch, 2004",,,,,
hypsrudm,"Hypselodoris rudmani Gosliner & Johnson, 1999",Hypselodoris rudmani,Hypselodoris,rudmani,,,"Gosliner & Johnson, 1999",,,,,
chralbo,"Chromodoris albonares Rudman, 1990",Chromodoris albonares,Chromodoris,albonares,,,"Rudman, 1990",,,,,
chrmag,"Chromodoris magnifica (Quoy & Gaimard, 1832)",Chromodoris magnifica,Chromodoris,magnifica,,,"(Quoy & Gaimard, 1832)",,,,,
bornirvi,"Bornella irvingi Edmunds & Preece, 1996",Bornella irvingi,Bornella,irvingi,,,"Edmunds & Preece, 1996",,,,,
gastbico,"Gastropteron bicornutum Baba & Tokioka, 1965",Gastropteron bicornutum,Gastropteron,bicornutum,,,"Baba & Tokioka, 1965",,,,,
cuthdive,"Cuthona diversicolor Baba, 1975",Cuthona diversicolor,Cuthona,diversicolor,,,"Baba, 1975",,,,,
cadlnigr,"Cadlina nigrobranchiata Rudman, 1985",Cadlina nigrobranchiata,Cadlina,nigrobranchiata,,,"Rudman, 1985",,,,,
chrosp12,Chromodoris sp. 12,Chromodoris sp. 12,Chromodoris,sp. 12,,,,,,,,
thorvill,"Thordisa villosa  (Alder & Hancock, 1864)",Thordisa villosa,Thordisa,villosa,,,"(Alder & Hancock, 1864)",,,,,
lemimill,"Leminda millecra  Griffiths, 1985",Leminda millecra,Leminda,millecra,,,"Griffiths, 1985",,,,,
chrobinz,"Chromodoris binza Marcus & Marcus,  1963",Chromodoris binza,Chromodoris,binza,,,"Marcus & Marcus, 1963",,,,,
flabgrac,"Flabellina gracilis (Alder & Hancock, 1844)",Flabellina gracilis,Flabellina,gracilis,,,"(Alder & Hancock, 1844)",,,,,
platannu,"Platydoris annulata Dorgan, Valdes & Gosliner, 2002",Platydoris annulata,Platydoris,annulata,,,"Dorgan, Valdes & Gosliner, 2002",,,,,
okenange,"Okenia angelica  Gosliner and Bertsch,  2004",Okenia angelica,Okenia,angelica,,,"Gosliner and Bertsch, 2004",,,,,
facequad,"Facelina quadrilineata (Baba, 1930)",Facelina quadrilineata,Facelina,quadrilineata,,,"(Baba, 1930)",,,,,
pleumemb,"Pleurobranchus membranaceus (Montagu, 1815)",Pleurobranchus membranaceus,Pleurobranchus,membranaceus,,,"(Montagu, 1815)",,,,,
runcmacf,"Runcina macfarlandi Gosliner, 1991",Runcina macfarlandi,Runcina,macfarlandi,,,"Gosliner, 1991",,,,,
paradubi,"Paradoris dubia (Bergh, 1904)",Paradoris dubia,Paradoris,dubia,,,"(Bergh, 1904)",,,,,
cratpila,"Cratena pilata (Gould, 1870)",Cratena pilata,Cratena,pilata,,,"(Gould, 1870)",,,,,
bertilis,"Berthellina ilisima (Marcus & Marcus, 1967)",Berthellina ilisima,Berthellina,ilisima,,,"(Marcus & Marcus, 1967)",,,,,
flabarve,"Flabellina arveloi Ortea & Espinosa, 1998",Flabellina arveloi,Flabellina,arveloi,,,"Ortea & Espinosa, 1998",,,,,
armitigr,"Armina tigrina Rafinesque, 1814",Armina tigrina,Armina,tigrina,,,"Rafinesque, 1814",,,,,
ercobood,"Ercolania boodleae (Baba, 1938)",Ercolania boodleae,Ercolania,boodleae,,,"(Baba, 1938)",,,,,
hermvari,"Hermaea variopicta (Costa, 1869)",Hermaea variopicta,Hermaea,variopicta,,,"(Costa, 1869)",,,,,
cumabeau,"Cumanotus beaumonti  (Eliot, 1906)",Cumanotus beaumonti,Cumanotus,beaumonti,,,"(Eliot, 1906)",,,,,
hypscant,"Hypselodoris cantabrica Bouchet & Ortea, 1980",Hypselodoris cantabrica,Hypselodoris,cantabrica,,,"Bouchet & Ortea, 1980",,,,,
halgstric,"Halgerda stricklandi Fahey & Gosliner, 1999",Halgerda stricklandi,Halgerda,stricklandi,,,"Fahey & Gosliner, 1999",,,,,
cadllute,"Cadlina luteomarginata MacFarland, 1966",Cadlina luteomarginata,Cadlina,luteomarginata,,,"MacFarland, 1966",,,,,
dotouva,"Doto uva Marcus, 1955",Doto uva,Doto,uva,,,"Marcus, 1955",,,,,
mexifran,"Mexichromis francoisae  (Bouchet in Bouchet & Ortea,1980)",Mexichromis francoisae,Mexichromis,francoisae,,,"Ortea,1980)",,,,,
polybsp1,Polybranchia sp. 1,Polybranchia sp. 1,Polybranchia,sp. 1,,,,,,,,
babacffe,Babakina cf. festiva,Babakina cf. festiva,Babakina,cf. festiva,,,,,,,,
aphebrun,"Aphelodoris brunnea  Bergh, 1907",Aphelodoris brunnea,Aphelodoris,brunnea,,,"Bergh, 1907",,,,,
pecttril,"Pectenodoris trilineata (Adams & Reeve, 1850)",Pectenodoris trilineata,Pectenodoris,trilineata,,,"(Adams & Reeve, 1850)",,,,,
thorafri,"Thorunna africana Rudman, 1984",Thorunna africana,Thorunna,africana,,,"Rudman, 1984",,,,,
cuthbehr,"Cuthona behrensi Hermosillo & Valdes, 2007",Cuthona behrensi,Cuthona,behrensi,,,"Hermosillo & Valdes, 2007",,,,,
tylocort,"Tylodina corticalis (Tate, 1889)",Tylodina corticalis,Tylodina,corticalis,,,"(Tate, 1889)",,,,,
phespana,"Phestilla panamica Rudman, 1982",Phestilla panamica,Phestilla,panamica,,,"Rudman, 1982",,,,,
aplyextr,"Aplysia extraordinaria (Allan, 1932)",Aplysia extraordinaria,Aplysia,extraordinaria,,,"(Allan, 1932)",,,,,
aplygiga,"Aplysia gigantea Sowerby, 1869",Aplysia gigantea,Aplysia,gigantea,,,"Sowerby, 1869",,,,,
hypsbull,"Hypselodoris bullocki (Collingwood, 1881)",Hypselodoris bullocki,Hypselodoris,bullocki,,,"(Collingwood, 1881)",,,,,
cuthcfpinn,Cuthona cf. pinnifera,Cuthona cf. pinnifera,Cuthona,cf. pinnifera,,,,,,,,
japosutu,"Japonacteon suturalis (A. Adams, 1855)",Japonacteon suturalis,Japonacteon,suturalis,,,"(A. Adams, 1855)",,,,,
diaugree,"Diaulula greeleyi  (MacFarland, 1909)",Diaulula greeleyi,Diaulula,greeleyi,,,"(MacFarland, 1909)",,,,,
janosp3,Janolus sp. 3.,Janolus sp. 3.,Janolus,sp. 3.,,,,,,,,
phylkoeh,"Phyllodesmium koehleri Burghardt, Schroedl & Wagele, 2008",Phyllodesmium koehleri,Phyllodesmium,koehleri,,,"Burghardt, Schroedl & Wagele, 2008",,,,,
cerbaffi,"Cerberilla affinis  Bergh, 1888",Cerberilla affinis,Cerberilla,affinis,,,"Bergh, 1888",,,,,
diroalbo,"Dirona albolineata MacFarland in Cockerell & Eliot, 1905",Dirona albolineata,Dirona,albolineata,,,"MacFarland in Cockerell & Eliot, 1905",,,,,
phidnewc,"Phidiana newcombi (Angas, 1864)",Phidiana newcombi,Phidiana,newcombi,,,"(Angas, 1864)",,,,,
limadepr,"Limapontia depressa Alder & Hancock, 1862",Limapontia depressa,Limapontia,depressa,,,"Alder & Hancock, 1862",,,,,
aegialbu,"Aegires albus Thiele, 1912",Aegires albus,Aegires,albus,,,"Thiele, 1912",,,,,
dotosp1,Doto sp. 1.,Doto sp. 1.,Doto,sp. 1.,,,,,,,,
elyssp15,Elysia sp. 15,Elysia sp. 15,Elysia,sp. 15,,,,,,,,
halgtess,"Halgerda tessellata (Bergh, 1880)",Halgerda tessellata,Halgerda,tessellata,,,"(Bergh, 1880)",,,,,
petaramo,"Petalifera ramosa Baba, 1959",Petalifera ramosa,Petalifera,ramosa,,,"Baba, 1959",,,,,
trapvelo,"Trapania velox (Cockerell, 1901)",Trapania velox,Trapania,velox,,,"(Cockerell, 1901)",,,,,
polysp6,Polycera? sp. 6.,Polycera? sp. 6.,Polycera?,sp. 6.,,,,,,,,
cuthorna,"Cuthona ornata Baba, 1937",Cuthona ornata,Cuthona,ornata,,,"Baba, 1937",,,,,
metanhat,"Metaruncina nhatrangensis Chernyshev, 2005",Metaruncina nhatrangensis,Metaruncina,nhatrangensis,,,"Chernyshev, 2005",,,,,
doripect,"Doriopsis pecten (Collingwood, 1881)",Doriopsis pecten,Doriopsis,pecten,,,"(Collingwood, 1881)",,,,,
atagrugo,"Atagema rugosa Pruvot-Fol, 1951",Atagema rugosa,Atagema,rugosa,,,"Pruvot-Fol, 1951",,,,,
dotocfpita,Doto cf. pita,Doto cf. pita,Doto,cf. pita,,,,,,,,
calmgobi,"Calma gobioophaga Calado & Urgorri, 2002",Calma gobioophaga,Calma,gobioophaga,,,"Calado & Urgorri, 2002",,,,,
glossp15,Glossodoris sp. 15,Glossodoris sp. 15,Glossodoris,sp. 15,,,,,,,,
crimlute,"Crimora lutea Baba, 1949",Crimora lutea,Crimora,lutea,,,"Baba, 1949",,,,,
noumsp1,Noumea sp. 1.,Noumea sp. 1.,Noumea,sp. 1.,,,,,,,,
cerbsp8,Cerberilla sp. 8,Cerberilla sp. 8,Cerberilla,sp. 8,,,,,,,,
tambsp4,Tambja sp. 4,Tambja sp. 4,Tambja,sp. 4,,,,,,,,
phylirio,"Phyllodesmium iriomotense Baba, 1991",Phyllodesmium iriomotense,Phyllodesmium,iriomotense,,,"Baba, 1991",,,,,
aldipiko,"Aldisa pikokai Bertsch & Johnson, 1982",Aldisa pikokai,Aldisa,pikokai,,,"Bertsch & Johnson, 1982",,,,,
apheluct,"Aphelodoris luctuosa (Cheeseman, 1882)",Aphelodoris luctuosa,Aphelodoris,luctuosa,,,"(Cheeseman, 1882)",,,,,
plocimpe,"Plocamopherus imperialis Angas, 1864",Plocamopherus imperialis,Plocamopherus,imperialis,,,"Angas, 1864",,,,,
eubrline,"Eubranchus linensis Garcia-Gomez, Cervera & Garcia, 1990",Eubranchus linensis,Eubranchus,linensis,,,"Garcia-Gomez, Cervera & Garcia, 1990",,,,,
okenvanc,"Okenia vancouverensis ODonoghue, 1921",Okenia vancouverensis,Okenia,vancouverensis,,,"ODonoghue, 1921",,,,,
godirach,"Godiva rachelae Rudman, 1980",Godiva rachelae,Godiva,rachelae,,,"Rudman, 1980",,,,,
trapjapo,"Trapania japonica (Baba, 1935)",Trapania japonica,Trapania,japonica,,,"(Baba, 1935)",,,,,
cyercris,"Cyerce cristallina (Trinchese, 1881)",Cyerce cristallina,Cyerce,cristallina,,,"(Trinchese, 1881)",,,,,
aplymino,"Aplysiopsis minor (Baba, 1959)",Aplysiopsis minor,Aplysiopsis,minor,,,"(Baba, 1959)",,,,,
favoauri,"Favorinus auritulus Marcus, 1955",Favorinus auritulus,Favorinus,auritulus,,,"Marcus, 1955",,,,,
tritsp1,Tritoniid sp. 1.,Tritoniid sp. 1.,Tritoniid,sp. 1.,,,,,,,,
rostsp3,Rostanga sp. 3,Rostanga sp. 3,Rostanga,sp. 3,,,,,,,,
hervexig,"Herviella exigua  (Risbec, 1928)",Herviella exigua,Herviella,exigua,,,"(Risbec, 1928)",,,,,
thurmoeb,"Thuridilla moebii (Bergh, 1888)",Thuridilla moebii,Thuridilla,moebii,,,"(Bergh, 1888)",,,,,
favomira,"Favorinus mirabilis Baba, 1955",Favorinus mirabilis,Favorinus,mirabilis,,,"Baba, 1955",,,,,
pleugran,"Pleurobranchus grandis Pease, 1868",Pleurobranchus grandis,Pleurobranchus,grandis,,,"Pease, 1868",,,,,
rostaliu,"Rostanga aliusrubens Rudman & Avern, 1989",Rostanga aliusrubens,Rostanga,aliusrubens,,,"Rudman & Avern, 1989",,,,,
dorimini,"Doriopsilla miniata (Alder & Hancock, 1864)",Doriopsilla miniata,Doriopsilla,miniata,,,"(Alder & Hancock, 1864)",,,,,
halgonna,"Halgerda onna Fahey & Gosliner, 2001",Halgerda onna,Halgerda,onna,,,"Fahey & Gosliner, 2001",,,,,
euplmacu,"Euplocamus maculatus  Bergh, 1898",Euplocamus maculatus,Euplocamus,maculatus,,,"Bergh, 1898",,,,,
micrhedy,Microhedyle sp.,Microhedyle sp.,Microhedyle,sp.,,, ,,,,,
apheanti,"Aphelodoris antillensis  Bergh, 1879",Aphelodoris antillensis,Aphelodoris,antillensis,,,"Bergh, 1879",,,,,
chrosple,"Chromodoris splendida (Angas, 1864)",Chromodoris splendida,Chromodoris,splendida,,,"(Angas, 1864)",,,,,
janotoya,"Janolus toyamaensis Baba and Abe, 1970",Janolus toyamaensis,Janolus,toyamaensis,,,"Baba and Abe, 1970",,,,,
volvsp1,Volvatella sp. 1.,Volvatella sp. 1.,Volvatella,sp. 1.,,,,,,,,
platcine,"Platydoris cinerobranchiata Dorgan, Valdes & Gosliner, 2002",Platydoris cinerobranchiata,Platydoris,cinerobranchiata,,,"Dorgan, Valdes & Gosliner, 2002",,,,,
flabrub,"Flabellina rubrolineata (ODonoghue, 1929)",Flabellina rubrolineata,Flabellina,rubrolineata,,,"(ODonoghue, 1929)",,,,,
bornpele,"Bornella pele Pola, Rudman & Gosliner, 2009",Bornella pele,Bornella,pele,,,"Pola, Rudman & Gosliner, 2009",,,,,
spursala,"Spurilla salaamica Rudman, 1982",Spurilla salaamica,Spurilla,salaamica,,,"Rudman, 1982",,,,,
chroaure,"Chromodoris aureopurpurea  Collingwood, 1881",Chromodoris aureopurpurea,Chromodoris,aureopurpurea,,,"Collingwood, 1881",,,,,
phylzebr,"Phyllidia zebrina Baba, 1976",Phyllidia zebrina,Phyllidia,zebrina,,,"Baba, 1976",,,,,
stilzost,"Hermaea zosterae (Baba, 1959)",Hermaea zosterae,Hermaea,zosterae,,,"(Baba, 1959)",,,,,
trappalm,"Trapania palmula Gosliner & Fahey, 2008",Trapania palmula,Trapania,palmula,,,"Gosliner & Fahey, 2008",,,,,
elyssp1,Elysia sp. 1.,Elysia sp. 1.,Elysia,sp. 1.,,,,,,,,
hoplhans,"Hoplodoris hansrosaorum Dominguez, Garcia & Troncoso, 2006",Hoplodoris hansrosaorum,Hoplodoris,hansrosaorum,,,"Dominguez, Garcia & Troncoso, 2006",,,,,
armibaba,"Armina babai (Tchang-Si, 1934)",Armina babai,Armina,babai,,,"(Tchang-Si, 1934)",,,,,
eubrvirg,"Eubranchopsis virginalis Baba, 1949",Eubranchopsis virginalis,Eubranchopsis,virginalis,,,"Baba, 1949",,,,,
peltrubr,"Peltodoris rubra (Bergh, 1905)",Peltodoris rubra,Peltodoris,rubra,,,"(Bergh, 1905)",,,,,
okenstel,"Okenia stellata Rudman, 2004",Okenia stellata,Okenia,stellata,,,"Rudman, 2004",,,,,
noumsulp1,"Noumea sulphurea  Rudman, 1986",Noumea sulphurea,Noumea,sulphurea,,,"Rudman, 1986",,,,,
julizebr,"Julia zebra Kawaguti, 1981",Julia zebra,Julia,zebra,,,"Kawaguti, 1981",,,,,
chrobrit,"Chromodoris britoi Ortea & Pérez, 1983",Chromodoris britoi,Chromodoris,britoi,,,"Ortea & Pérez, 1983",,,,,
thurkath,Thuridilla kathae Gosliner 1995,Thuridilla kathae,Thuridilla,kathae,,,Gosliner 1995,,,,,
aphegree,"Aphelodoris greeni Burn, 1966",Aphelodoris greeni,Aphelodoris,greeni,,,"Burn, 1966",,,,,
chroquad,"Chromodoris quadricolor (Ruppell & Leuckart,, 1828)",Chromodoris quadricolor,Chromodoris,quadricolor,,,"(Ruppell & Leuckart,, 1828)",,,,,
aldisp4,Aldisa sp. 4,Aldisa sp. 4,Aldisa,sp. 4,,,,,,,,
philtrou,"Philinopsis troubridgensis (Verco, 1909)",Philinopsis troubridgensis,Philinopsis,troubridgensis,,,"(Verco, 1909)",,,,,
oxynsp1,Oxynoe sp. 1,Oxynoe sp. 1,Oxynoe,sp. 1,,,,,,,,
dotopinn,"Doto pinnatifida  (Montagu, 1804)",Doto pinnatifida,Doto,pinnatifida,,,"(Montagu, 1804)",,,,,
ercosp3,Ercolania sp. 3,Ercolania sp. 3,Ercolania,sp. 3,,,,,,,,
tambhaid,"Tambja haidari Pola, Cervera & Gosliner, 2006",Tambja haidari,Tambja,haidari,,,"Pola, Cervera & Gosliner, 2006",,,,,
colgmini,"Colga minichevi  Martynov and Baranetz, 2002",Colga minichevi,Colga,minichevi,,,"Martynov and Baranetz, 2002",,,,,
aplydact,"Aplysia dactylomela Rang, 1828",Aplysia dactylomela,Aplysia,dactylomela,,,"Rang, 1828",,,,,
aegisp4,Aegires sp. 4,Aegires sp. 4,Aegires,sp. 4,,,,,,,,
philtaro,"Philinopsis taronga (Allan, 1933)",Philinopsis taronga,Philinopsis,taronga,,,"(Allan, 1933)",,,,,
marisp5,Marionia sp. 5,Marionia sp. 5,Marionia,sp. 5,,,,,,,,
phylshir,"Phyllidiopsis shireenae Brunckhorst, 1993",Phyllidiopsis shireenae,Phyllidiopsis,shireenae,,,"Brunckhorst, 1993",,,,,
cuthpuni,"Cuthona punicea Millen, 1986",Cuthona punicea,Cuthona,punicea,,,"Millen, 1986",,,,,
hamivesi,"Haminoea vesicula  (Gould, 1855)",Haminoea vesicula,Haminoea,vesicula,,,"(Gould, 1855)",,,,,
polyemer,"Polycerella emertoni Verrill, 1880",Polycerella emertoni,Polycerella,emertoni,,,"Verrill, 1880",,,,,
madrsang,"Madrella sanguinea (Angas, 1864)",Madrella sanguinea,Madrella,sanguinea,,,"(Angas, 1864)",,,,,
bertstro,"Berthella strongi (MacFarland, 1966)",Berthella strongi,Berthella,strongi,,,"(MacFarland, 1966)",,,,,
flabcfexop,Flabellina cf exoptata,Flabellina cf exoptata,Flabellina,cf exoptata,,,,,,,,
diapmits,"Diaphorodoris mitsuii  (Baba, 1938)",Diaphorodoris mitsuii,Diaphorodoris,mitsuii,,,"(Baba, 1938)",,,,,
phyllodsp12,Phyllodesmium sp. 12,Phyllodesmium sp. 12,Phyllodesmium,sp. 12,,,,,,,,
dermcfgona,"Dermatobranchus gonatophora van Hasselt, 1824",Dermatobranchus gonatophora,Dermatobranchus,gonatophora,,,"van Hasselt, 1824",,,,,
eubrcfrubr,"Eubranchus cf. rubropunctatus Edmunds, 1969",Eubranchus cf. rubropunctatus,Eubranchus,cf. rubropunctatus,,,"Edmunds, 1969",,,,,
discschm,"Discodoris schmeltziana  Bergh, 1880",Discodoris schmeltziana,Discodoris,schmeltziana,,,"Bergh, 1880",,,,,
disccari,Discodoris spp - west Atlantic warm water,Discodoris spp - west Atlantic warm water,Discodoris,spp - west Atlantic warm water,,,,,,,,
cerapapi,"Ceratophyllidia  papilligera  (Bergh, 1890)",Ceratophyllidia papilligera,Ceratophyllidia,papilligera,,,"(Bergh, 1890)",,,,,
sakuguja,"Sakuraeolis gujaratica Rudman, 1980",Sakuraeolis gujaratica,Sakuraeolis,gujaratica,,,"Rudman, 1980",,,,,
aeolalba,"Aeolidiella alba Risbec, 1928",Aeolidiella alba,Aeolidiella,alba,,,"Risbec, 1928",,,,,
chelamoe,"Chelidonura amoena Bergh, 1905",Chelidonura amoena,Chelidonura,amoena,,,"Bergh, 1905",,,,,
pleumami,"Pleurobranchus mamillatus  Quoy & Gaimard, 1832",Pleurobranchus mamillatus,Pleurobranchus,mamillatus,,,"Quoy & Gaimard, 1832",,,,,
halgcarl,"Halgerda carlsoni Rudman, 1978",Halgerda carlsoni,Halgerda,carlsoni,,,"Rudman, 1978",,,,,
hypslaje,"Hypselodoris picta lajensis Troncoso, Garcia & Urgorri, 1998",Hypselodoris picta lajensis,Hypselodoris,picta,,lajensis,"Troncoso, Garcia & Urgorri, 1998",,,,,
dermsp6,Dermatobranchus sp. 6,Dermatobranchus sp. 6,Dermatobranchus,sp. 6,,,,,,,,
dotoorch,"Doto orcha Yonow, 200",Doto orcha,Doto,orcha,,,"Yonow, 200",,,,,
tritanta,"Tritonia antarctica Pfeffer, in Martens & Pfeffer, 1886",Tritonia antarctica,Tritonia,antarctica,,,"Pfeffer, in Martens & Pfeffer, 1886",,,,,
aglajidsp7,Aglajid sp. 7,Aglajid sp. 7,Aglajid,sp. 7,,,,,,,,
trapbenn,"Trapania benni Rudman, 1987",Trapania benni,Trapania,benni,,,"Rudman, 1987",,,,,
carmbifu,"Hoplodoris bifurcata  (Baba, 1993)",Hoplodoris bifurcata,Hoplodoris,bifurcata,,,"(Baba, 1993)",,,,,
anislent,"Diaulula lentiginosa Millen, 1982",Diaulula lentiginosa,Diaulula,lentiginosa,,,"Millen, 1982",,,,,
hypsinfu,"Hypselodoris infucata (Ruppell & Leuckart, 1830 or 1831)",Hypselodoris infucata,Hypselodoris,infucata,,,"(Ruppell & Leuckart, 1830 or 1831)",,,,,
hypslact,"Hypselodoris lacteola Rudman, 1995",Hypselodoris lacteola,Hypselodoris,lacteola,,,"Rudman, 1995",,,,,
cyercfkiku,"Cyerce cf. kikutarobabai Hamatani, 1976",Cyerce cf. kikutarobabai,Cyerce,cf. kikutarobabai,,,"Hamatani, 1976",,,,,
rhodrosk,"Rhodope roskoi Haszprunar & Hess, 2005",Rhodope roskoi,Rhodope,roskoi,,,"Haszprunar & Hess, 2005",,,,,
siphquad,"Siphopteron quadrispinosum Gosliner, 1989",Siphopteron quadrispinosum,Siphopteron,quadrispinosum,,,"Gosliner, 1989",,,,,
glossp3,Glossodoris sp. 3.,Glossodoris sp. 3.,Glossodoris,sp. 3.,,,,,,,,
thuralbo,"Thuridilla albopustulosa Gosliner, 1995",Thuridilla albopustulosa,Thuridilla,albopustulosa,,,"Gosliner, 1995",,,,,
moribroc,"Moridilla brockii Bergh, 1888",Moridilla brockii,Moridilla,brockii,,,"Bergh, 1888",,,,,
flabtrop,"Flabellina trophina (Bergh, 1894)",Flabellina trophina,Flabellina,trophina,,,"(Bergh, 1894)",,,,,
flabtelj,"Flabellina telja Marcus & Marcus, 1967",Flabellina telja,Flabellina,telja,,,"Marcus & Marcus, 1967",,,,,
elystril,"Elysia trilobata Heller & Thompson, 1983",Elysia trilobata,Elysia,trilobata,,,"Heller & Thompson, 1983",,,,,
phylcoor,"Phyllidiella cooraburrama Brunckhorst, 1993",Phyllidiella cooraburrama,Phyllidiella,cooraburrama,,,"Brunckhorst, 1993",,,,,
tambgrat,"Tambja gratiosa (Bergh, 1890)",Tambja gratiosa,Tambja,gratiosa,,,"(Bergh, 1890)",,,,,
cerbmoss,"Cerberilla mosslandica McDonald & Nybakken, 1975",Cerberilla mosslandica,Cerberilla,mosslandica,,,"McDonald & Nybakken, 1975",,,,,
hypskrak,"Hypselodoris krakatoa Gosliner & Johnson, 1999",Hypselodoris krakatoa,Hypselodoris,krakatoa,,,"Gosliner & Johnson, 1999",,,,,
durvcirc,"Durvilledoris circumflavus Rudman, 1990",Durvilledoris circumflavus,Durvilledoris,circumflavus,,,"Rudman, 1990",,,,,
faceauri,"Facelina auriculata (Müller, 1776)",Facelina auriculata,Facelina,auriculata,,,"(Müller, 1776)",,,,,
aegisubl,"Aegires sublaevis  Odhner, 1932",Aegires sublaevis,Aegires,sublaevis,,,"Odhner, 1932",,,,,
aldiwill,"Aldisa williamsi Elwood, Valdes & Gosliner, 2000",Aldisa williamsi,Aldisa,williamsi,,,"Elwood, Valdes & Gosliner, 2000",,,,,
noalsp1,Noalda sp. 1,Noalda sp. 1,Noalda,sp. 1,,,,,,,,
okenmell,"Okenia mellita Rudman, 2004",Okenia mellita,Okenia,mellita,,,"Rudman, 2004",,,,,
janobarb,"Janolus barbarensis (Cooper, 1863)",Janolus barbarensis,Janolus,barbarensis,,,"(Cooper, 1863)",,,,,
lophscal,"Lophodoris scala Marcus & Marcus, 1970",Lophodoris scala,Lophodoris,scala,,,"Marcus & Marcus, 1970",,,,,
meximari,"Mexichromis mariei (Crosse, 1872)",Mexichromis mariei,Mexichromis,mariei,,,"(Crosse, 1872)",,,,,
phidmili,"Phidiana militaris (Alder & Hancock, 1864)",Phidiana militaris,Phidiana,militaris,,,"(Alder & Hancock, 1864)",,,,,
dorigeme,"Doriopsilla gemela Gosliner, Schaefer & Millen, 1999",Doriopsilla gemela,Doriopsilla,gemela,,,"Gosliner, Schaefer & Millen, 1999",,,,,
favopaci,"Favorinus pacificus Baba, 1937",Favorinus pacificus,Favorinus,pacificus,,,"Baba, 1937",,,,,
joruparv,"Jorunna parva (Baba, 1938)",Jorunna parva,Jorunna,parva,,,"(Baba, 1938)",,,,,
bullrose,"Bullina roseana Rudman, 1971",Bullina roseana,Bullina,roseana,,,"Rudman, 1971",,,,,
phylcfho,Phyllodesmium cf horridum,Phyllodesmium cf horridum,Phyllodesmium,cf horridum,,,,,,,,
melacyli,"Melanochlamys cylindrica Cheeseman, 1881",Melanochlamys cylindrica,Melanochlamys,cylindrica,,,"Cheeseman, 1881",,,,,
gastsp3,Gastropteron sp. 3,Gastropteron sp. 3,Gastropteron,sp. 3,,,,,,,,
lomaverm,"Lomanotus vermiformis Eliot, 1908",Lomanotus vermiformis,Lomanotus,vermiformis,,,"Eliot, 1908",,,,,
anteindi,"Anteaeolidiella indica (Bergh, 1888)",Anteaeolidiella indica,Anteaeolidiella,indica,,,"(Bergh, 1888)",,,,,
flabfune,"Flabellina funeka Gosliner & Griffiths, 1981",Flabellina funeka,Flabellina,funeka,,,"Gosliner & Griffiths, 1981",,,,,
nemblivi,"Nembrotha livingstonei  Allan, 1933",Nembrotha livingstonei,Nembrotha,livingstonei,,,"Allan, 1933",,,,,
discboho,"Discodoris boholiensis  Bergh, 1877",Discodoris boholiensis,Discodoris,boholiensis,,,"Bergh, 1877",,,,,
scleapic,"Sclerodoris apiculata  (Alder & Hancock, 1864)",Sclerodoris apiculata,Sclerodoris,apiculata,,,"(Alder & Hancock, 1864)",,,,,
cerbannu,"Cerberilla annulata  (Quoy & Gaimard, 1832)",Cerberilla annulata,Cerberilla,annulata,,,"(Quoy & Gaimard, 1832)",,,,,
hamimaug,"Haminoea maugeansis Burn, 1966",Haminoea maugeansis,Haminoea,maugeansis,,,"Burn, 1966",,,,,
limesp1,Limenandra sp. 1,Limenandra sp. 1,Limenandra,sp. 1,,,,,,,,
eubrdori,"Eubranchus doriae (Trinchese, 1874)",Eubranchus doriae,Eubranchus,doriae,,,"(Trinchese, 1874)",,,,,
cadlwill,"Cadlina willani Miller, 1980",Cadlina willani,Cadlina,willani,,,"Miller, 1980",,,,,
ercocoer,"Ercolania coerulea Trinchese, 1892",Ercolania coerulea,Ercolania,coerulea,,,"Trinchese, 1892",,,,,
tritstri,"Tritonia striata Haefelfinger, 1963",Tritonia striata,Tritonia,striata,,,"Haefelfinger, 1963",,,,,
chrostri,"Chromodoris strigata Rudman, 1982",Chromodoris strigata,Chromodoris,strigata,,,"Rudman, 1982",,,,,
