Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
hypsfont,"Hypselodoris fontandraui (Pruvot-Fol, 1951)",Hypselodoris fontandraui,Hypselodoris,fontandraui,,,"(Pruvot-Fol, 1951)",,,,,
melaquer,"Melanochlamys queritor (Burn, 1958)",Melanochlamys queritor,Melanochlamys,queritor,,,"(Burn, 1958)",,,,,
chrodaph,"Chromodoris daphne (Angas, 1864)",Chromodoris daphne,Chromodoris,daphne,,,"(Angas, 1864)",,,,,
dorisp1,Doris sp. 1.,Doris sp. 1.,Doris,sp. 1.,,,,,,,,
hydaphys,"Hydatina physis (Linnaeus, 1758)",Hydatina physis,Hydatina,physis,,,"(Linnaeus, 1758)",,,,,
marirose,"Marianina rosea  (Pruvot-Fol, 1930)",Marianina rosea,Marianina,rosea,,,"(Pruvot-Fol, 1930)",,,,,
siphpohn,"Siphopteron pohnpei (Hoff & Carlson, 1983)",Siphopteron pohnpei,Siphopteron,pohnpei,,,"(Hoff & Carlson, 1983)",,,,,
limasene,"Limapontia senestra (Quatrefages, 1844)",Limapontia senestra,Limapontia,senestra,,,"(Quatrefages, 1844)",,,,,
kaloacut,"Kaloplocamus acutus  Baba, 1949",Kaloplocamus acutus,Kaloplocamus,acutus,,,"Baba, 1949",,,,,
thurneon,"Thuridilla neona Gosliner, 1995",Thuridilla neona,Thuridilla,neona,,,"Gosliner, 1995",,,,,
trapsafr,"Trapania safracornia  Fahey, 2004",Trapania safracornia,Trapania,safracornia,,,"Fahey, 2004",,,,,
hancunci,"Hancockia uncinata (Hesse, 1872)",Hancockia uncinata,Hancockia,uncinata,,,"(Hesse, 1872)",,,,,
phylhyal,"Phyllodesmium hyalinum Ehrenbergh, 1831",Phyllodesmium hyalinum,Phyllodesmium,hyalinum,,,"Ehrenbergh, 1831",,,,,
chelelec,"Chelidonura electra Rudman, 1970",Chelidonura electra,Chelidonura,electra,,,"Rudman, 1970",,,,,
oxynpana,"Oxynoe panamensis Pilsbry & Olsson, 1943",Oxynoe panamensis,Oxynoe,panamensis,,,"Pilsbry & Olsson, 1943",,,,,
kaloramo,"Kaloplocamus ramosus (Cantraine, 1835)",Kaloplocamus ramosus,Kaloplocamus,ramosus,,,"(Cantraine, 1835)",,,,,
aegiorti,"Aegires ortizi Templado, Luque & Ortea, 1987",Aegires ortizi,Aegires,ortizi,,,"Templado, Luque & Ortea, 1987",,,,,
elysserc,"Elysia serca Marcus, 1955",Elysia serca,Elysia,serca,,,"Marcus, 1955",,,,,
hopkhiro,"Okenia hiroi  (Baba, 1938)",Okenia hiroi,Okenia,hiroi,,,"(Baba, 1938)",,,,,
ercocfcoer,Ercolania cf. coerulea,Ercolania cf. coerulea,Ercolania,cf. coerulea,,,,,,,,
aglajidsp9,Aglajid sp. 9,Aglajid sp. 9,Aglajid,sp. 9,,,,,,,,
platsabu,"Platydoris sabulosa Dorgan, Valdes & Gosliner, 2002",Platydoris sabulosa,Platydoris,sabulosa,,,"Dorgan, Valdes & Gosliner, 2002",,,,,
acteincu,"Acteocina inculta  (Gould, 1846).",Acteocina inculta,Acteocina,inculta,,,"(Gould, 1846).",,,,,
thecdarw,"Thecacera darwini Pruvot-Fol, 1950",Thecacera darwini,Thecacera,darwini,,,"Pruvot-Fol, 1950",,,,,
halgdala,"Halgerda dalanghita Fahey & Gosliner, 1999",Halgerda dalanghita,Halgerda,dalanghita,,,"Fahey & Gosliner, 1999",,,,,
tambceut,"Tambja ceutae Garcia-Gomez &  Ortea, 1988",Tambja ceutae,Tambja,ceutae,,,"Garcia-Gomez & Ortea, 1988",,,,,
glosang,"Glossodoris angasi Rudman, 1986",Glossodoris angasi,Glossodoris,angasi,,,"Rudman, 1986",,,,,
chrosp10,Chromodoris sp. 10,Chromodoris sp. 10,Chromodoris,sp. 10,,,,,,,,
sakugerb,"Sakuraeolis gerberina Hirano, 1999",Sakuraeolis gerberina,Sakuraeolis,gerberina,,,"Hirano, 1999",,,,,
chroverr,"Chromodoris verrieri (Crosse, 1875)",Chromodoris verrieri,Chromodoris,verrieri,,,"(Crosse, 1875)",,,,,
peltfell,"Peltodoris fellowsi Kay & Young, 1969",Peltodoris fellowsi,Peltodoris,fellowsi,,,"Kay & Young, 1969",,,,,
bertcana,"Berthella canariensis Cervera et. al., 2000",Berthella canariensis,Berthella,canariensis,,,"Cervera et. al., 2000",,,,,
navainer,"Navanax inermis (Cooper, 1863)",Navanax inermis,Navanax,inermis,,,"(Cooper, 1863)",,,,,
petapeta,"Petalifera petalifera (Rang, 1828)",Petalifera petalifera,Petalifera,petalifera,,,"(Rang, 1828)",,,,,
noumhali1,"Noumea haliclona (Burn, 1957)",Noumea haliclona,Noumea,haliclona,,,"(Burn, 1957)",,,,,
bullnobi,"Bullina nobilis Habe, 1950",Bullina nobilis,Bullina,nobilis,,,"Habe, 1950",,,,,
dermsp8,Dermatobranchus sp. 8,Dermatobranchus sp. 8,Dermatobranchus,sp. 8,,,,,,,,
elyscfjapo,Elysia cf. japonica,Elysia cf. japonica,Elysia,cf. japonica,,,,,,,,
dendsene,"Dendrodoris senegalensis Bouchet, 1975",Dendrodoris senegalensis,Dendrodoris,senegalensis,,,"Bouchet, 1975",,,,,
pleucali,"Pleurobranchaea californica MacFarland, 1966",Pleurobranchaea californica,Pleurobranchaea,californica,,,"MacFarland, 1966",,,,,
rostarbu,"Rostanga arbutus (Angas,  1864)",Rostanga arbutus,Rostanga,arbutus,,,"(Angas, 1864)",,,,,
halgwasi,"Halgerda wasinensis Eliot, 1904",Halgerda wasinensis,Halgerda,wasinensis,,,"Eliot, 1904",,,,,
chrocfrega,Chromodoris cf. regalis,Chromodoris cf. regalis,Chromodoris,cf. regalis,,,,,,,,
parasp,Paraganitus sp,Paraganitus sp,Paraganitus,sp,,, ,,,,,
chelsp6,Chelidonura sp. 6  yellow-spotted species from Japan,Chelidonura sp. 6,Chelidonura,sp. 6,,,,,,,,
caloeleg,"Caloria elegans (Alder & Hancock, 1845)",Caloria elegans,Caloria,elegans,,,"(Alder & Hancock, 1845)",,,,,
nembmill,"Nembrotha milleri Gosliner & Behrens, 1997",Nembrotha milleri,Nembrotha,milleri,,,"Gosliner & Behrens, 1997",,,,,
crosdaed,"Crosslandia daedali Poorman & Mulliner, 1981",Crosslandia daedali,Crosslandia,daedali,,,"Poorman & Mulliner, 1981",,,,,
tamababa,"Tamanovalva babai Burn, 1965",Tamanovalva babai,Tamanovalva,babai,,,"Burn, 1965",,,,,
jorusp2,Jorunna sp. 2.,Jorunna sp. 2.,Jorunna,sp. 2.,,,,,,,,
nembkuba,"Nembrotha kubaryana Bergh, 1877",Nembrotha kubaryana,Nembrotha,kubaryana,,,"Bergh, 1877",,,,,
bulloblo,"Bullina oblonga Sowerby, 1897",Bullina oblonga,Bullina,oblonga,,,"Sowerby, 1897",,,,,
trapnebu,"Trapania nebula Gosliner & Fahey, 2008",Trapania nebula,Trapania,nebula,,,"Gosliner & Fahey, 2008",,,,,
phylpadi,"Phyllaplysia padinae Williams & Gosliner, 1973",Phyllaplysia padinae,Phyllaplysia,padinae,,,"Williams & Gosliner, 1973",,,,,
chroafri,"Chromodoris africana Eliot, 1904",Chromodoris africana,Chromodoris,africana,,,"Eliot, 1904",,,,,
thorfurt,"Thorunna furtiva Bergh, 1878",Thorunna furtiva,Thorunna,furtiva,,,"Bergh, 1878",,,,,
thorazma,"Thordisa azmanii Cervera & Garcia-Gomez , 1989",Thordisa azmanii,Thordisa,azmanii,,,"Cervera & Garcia-Gomez , 1989",,,,,
runccoro,"Runcina coronata (Quatrefages, 1844)",Runcina coronata,Runcina,coronata,,,"(Quatrefages, 1844)",,,,,
emblgrac,"Embletonia gracilis Risbec, 1928",Embletonia gracilis,Embletonia,gracilis,,,"Risbec, 1928",,,,,
flabsp4,Flabellina sp. 4,Flabellina sp. 4,Flabellina,sp. 4,,,,,,,,
phylgemm,"Phyllidiopsis gemmata Pruvot-Fol, 1957",Phyllidiopsis gemmata,Phyllidiopsis,gemmata,,,"Pruvot-Fol, 1957",,,,,
elyschlo,"Elysia chlorotica Gould, 1870",Elysia chlorotica,Elysia,chlorotica,,,"Gould, 1870",,,,,
kaliorna,"Kalinga ornata Alder & Hancock, 1864",Kalinga ornata,Kalinga,ornata,,,"Alder & Hancock, 1864",,,,,
okenasci,"Okenia ascidicola Morse, 1972",Okenia ascidicola,Okenia,ascidicola,,,"Morse, 1972",,,,,
favosp2,Favorinus sp. 2.,Favorinus sp. 2.,Favorinus,sp. 2.,,,,,,,,
phylannu,"Phyllidiella annulata (Gray, 1853)",Phyllidiella annulata,Phyllidiella,annulata,,,"(Gray, 1853)",,,,,
rostelan,"Rostanga elandsia Garovoy, Valdés & Gosliner, 2001",Rostanga elandsia,Rostanga,elandsia,,,"Garovoy, Valdés & Gosliner, 2001",,,,,
rostrubr,"Rostanga rubra (Risso, 1818)",Rostanga rubra,Rostanga,rubra,,,"(Risso, 1818)",,,,,
cheltsur,"Chelidonura tsurugensis Baba & Abe, 1959",Chelidonura tsurugensis,Chelidonura,tsurugensis,,,"Baba & Abe, 1959",,,,,
armimacu,"Armina maculata Rafinesque, 1814",Armina maculata,Armina,maculata,,,"Rafinesque, 1814",,,,,
halgbaca,Halgerda bacalusia Fahey & Gosliner 1999,Halgerda bacalusia,Halgerda,bacalusia,,,Fahey & Gosliner 1999,,,,,
trapreti,"Trapania reticulata Rudman, 1987",Trapania reticulata,Trapania,reticulata,,,"Rudman, 1987",,,,,
chelpunc,"Chelidonura punctata Eliot, 1903",Chelidonura punctata,Chelidonura,punctata,,,"Eliot, 1903",,,,,
okenatki,"Okenia atkinsonorum Rudman, 2007",Okenia atkinsonorum,Okenia,atkinsonorum,,,"Rudman, 2007",,,,,
eubryola,"Eubranchus yolandae Hermosillo & Valdes, 2007",Eubranchus yolandae,Eubranchus,yolandae,,,"Hermosillo & Valdes, 2007",,,,,
hermhaku,"Hermosita hakunamatata (Ortea, Caballer & Espinosa, 2003)",Hermosita hakunamatata,Hermosita,hakunamatata,,,"(Ortea, Caballer & Espinosa, 2003)",,,,,
hypsiacu,"Hypselodoris iacula Gosliner & Johnson, 1999",Hypselodoris iacula,Hypselodoris,iacula,,,"Gosliner & Johnson, 1999",,,,,
hypsalbo,"Hypselodoris alboterminata Gosliner & Johnson, 1999",Hypselodoris alboterminata,Hypselodoris,alboterminata,,,"Gosliner & Johnson, 1999",,,,,
