#,IMAGE FILENAME,AUTHOR,CAPTION
724,Lu_rac_flower9.jpg,NC Duke,Flower features
725,Lu_rac_fruit1.JPG,NC Duke,Fruit or propagule
726,Lu_rac_fruit3.JPG,NC Duke,Fruit or propagule
727,Lu_rac_leaves1.JPG,NC Duke,Leaf characteristics and shape
728,Lu_rac_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
729,Lu_rac_siloB.jpg,Deirdre Bean,Silohuette of growth habit
730,Lu_rac_stembase1.JPG,NC Duke,Stembase characteristics
731,Lu_rac_tree2.jpg,NC Duke,Tree form
732,Lu_ros_bark2.jpg,NC Duke,Bark characteristics
733,Lu_ros_distribW2.jpg,NC Duke,Distribution in the world
734,Lu_ros_flower9.jpg,NC Duke,Flower features
735,Lu_ros_flower10.jpg,NC Duke,Flower features
736,Lu_ros_fruit2.jpg,NC Duke,Fruit or propagule
737,Lu_ros_leaves3.jpg,NC Duke,Leaf characteristics and shape
738,Lu_ros_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
739,Lu_ros_siloB.jpg,Deirdre Bean,Silohuette of growth habit
740,Lu_ros_stembase1.jpg,NC Duke,Stembase characteristics
741,Lu_ros_tree3.jpg,NC Duke,Tree form
742,Lu_ros_tree4.jpg,NC Duke,Tree form
743,Mo_ole_bark1w.jpg,NC Duke,Bark characteristics
744,Mo_ole_distribW2.jpg,NC Duke,Distribution in the world
745,Mo_ole_flower1w.jpg,NC Duke,Flower features
746,Mo_ole_flower3w.jpg,NC Duke,Flower features
747,Mo_ole_fruit3w.jpg,NC Duke,Fruit or propagule
748,Mo_ole_fruit4.jpg,NC Duke,Fruit or propagule
749,Mo_ole_leaves3w.jpg,NC Duke,Leaf characteristics and shape
750,Mo_ole_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
751,Mo_ole_siloCB.jpg,Deirdre Bean,Silohuette of growth habit
752,Mo_ole_stembase2w.jpg,NC Duke,Stembase characteristics
753,Mo_ole_stembase3.jpg,NC Duke,Stembase characteristics
754,Mo_ole_tree1w.jpg,NC Duke,Tree form
755,Ny_fru_distribW2.jpg,NC Duke,Distribution in the world
756,Ny_fru_flower2.JPG,NC Duke,Flower features
757,Ny_fru_flower4.jpg,NC Duke,Flower features
758,Ny_fru_fruit2.JPG,NC Duke,Fruit or propagule
759,Ny_fru_fruit3.JPG,NC Duke,Fruit or propagule
760,Ny_fru_fruit4.jpg,NC Duke,Fruit or propagule
761,Ny_fru_leaves3.jpg,NC Duke,Leaf characteristics and shape
762,Ny_fru_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
763,Ny_fru_siloCB.jpg,Deirdre Bean,Silohuette of growth habit
764,Ny_fru_stembase2.jpg,NC Duke,Stembase characteristics
765,Ny_fru_tree1.JPG,NC Duke,Tree form
766,Os_oct_bark1.jpg,NC Duke,Bark characteristics
767,Os_oct_distribW2.jpg,NC Duke,Distribution in the world
768,Os_oct_flower1.JPG,NC Duke,Flower features
769,Os_oct_flower6A.jpg,NC Duke,Flower features
770,Os_oct_fruit1.JPG,NC Duke,Fruit or propagule
771,Os_oct_fruit2.jpg,NC Duke,Fruit or propagule
772,Os_oct_fruit6A.jpg,NC Duke,Fruit or propagule
773,Os_oct_leaves3.jpg,NC Duke,Leaf characteristics and shape
774,Os_oct_leaves6A.jpg,NC Duke,Leaf characteristics and shape
775,Os_oct_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
776,Os_oct_siloB.jpg,Deirdre Bean,Silohuette of growth habit
777,Os_oct_tree3.jpg,NC Duke,Tree form
778,Os_oct_tree4.jpg,NC Duke,Tree form
779,Os_oct_tree6B.jpg,NC Duke,Tree form
780,Pa_rhi_distribW2.jpg,NC Duke,Distribution in the world
781,Pa_rhi_fruit1w.jpg,NC Duke,Fruit or propagule
782,Pa_rhi_leaves1w.jpg,NC Duke,Leaf characteristics and shape
783,Pa_rhi_leaves2w.jpg,NC Duke,Leaf characteristics and shape
784,Pa_rhi_siloB.jpg,Deirdre Bean,Silohuette of growth habit
785,Pa_spi_distribW2.jpg,NC Duke,Distribution in the world
786,Pa_spi_flower2.JPG,NC Duke,Flower features
787,Pa_spi_flower3.JPG,NC Duke,Flower features
788,Pa_spi_fruit1.JPG,NC Duke,Fruit or propagule
789,Pa_spi_fruit3.JPG,NC Duke,Fruit or propagule
790,Pa_spi_leaves1.JPG,NC Duke,Leaf characteristics and shape
791,Pa_spi_siloB.jpg,Deirdre Bean,Silohuette of growth habit
792,Pa_spi_tree1.JPG,NC Duke,Tree form
793,Pa_spi_tree3.JPG,NC Duke,Tree form
794,Pe_ben_bark1.JPG,NC Duke,Bark characteristics
795,Pe_ben_distrib2.jpg,NC Duke,Distribution in the world
796,Pe_ben_estuar1.jpg,Diana Kleine,Estuarine occurrence
797,Pe_ben_flower1.jpg,NC Duke,Flower features
798,Pe_ben_flower2.jpg,NC Duke,Flower features
799,Pe_ben_fruit3.JPG,NC Duke,Fruit or propagule
800,Pe_ben_fruit6B.jpg,NC Duke,Fruit or propagule
801,Pe_ben_fruit11.JPG,NC Duke,Fruit or propagule
802,Pe_ben_leaves2.JPG,NC Duke,Leaf characteristics and shape
803,Pe_ben_leaves4.JPG,NC Duke,Leaf characteristics and shape
804,Pe_ben_leaves6.jpg,NC Duke,Leaf characteristics and shape
805,Pe_ben_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
806,Pe_ben_siloCB.jpg,Deirdre Bean,Silohuette of growth habit
807,Pe_ben_stembase2.jpg,NC Duke,Stembase characteristics
808,Pe_ben_tree1.JPG,NC Duke,Tree form
809,Pe_ben_zone1.jpg,Diana Kleine,Intertidal zone position
810,Pe_rhi_bark1.JPG,NC Duke,Bark characteristics
811,Pe_rhi_distrib3.jpg,NC Duke,Distribution in the world
812,Pe_rhi_estuar1.jpg,Diana Kleine,Estuarine occurrence
813,Pe_rhi_flower1.JPG,NC Duke,Flower features
814,Pe_rhi_flower2.JPG,NC Duke,Flower features
815,Pe_rhi_flower3.JPG,NC Duke,Flower features
816,Pe_rhi_fruit1.jpg,NC Duke,Fruit or propagule
817,Pe_rhi_fruit2.jpg,NC Duke,Fruit or propagule
818,Pe_rhi_leaves1.JPG,NC Duke,Leaf characteristics and shape
819,Pe_rhi_leaves2.JPG,NC Duke,Leaf characteristics and shape
820,Pe_rhi_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
821,Pe_rhi_siloCB1.jpg,Deirdre Bean,Silohuette of growth habit
822,Pe_rhi_stembase1.jpg,NC Duke,Stembase characteristics
823,Pe_rhi_stembase2.jpg,NC Duke,Stembase characteristics
824,Pe_rhi_stembase3.jpg,NC Duke,Stembase characteristics
825,Pe_rhi_stembase4.jpg,NC Duke,Stembase characteristics
826,Pe_rhi_tree1.JPG,NC Duke,Tree form
827,Pe_rhi_tree2.JPG,NC Duke,Tree form
828,Pe_rhi_zone1.jpg,Diana Kleine,Intertidal zone position
829,Ph_pal_bark1.JPG,NC Duke,Bark characteristics
830,Ph_pal_distribW2.jpg,NC Duke,Distribution in the world
831,Ph_pal_fruit1w.jpg,NC Duke,Fruit or propagule
832,Ph_pal_leaves1.JPG,NC Duke,Leaf characteristics and shape
833,Ph_pal_leaves2.JPG,NC Duke,Leaf characteristics and shape
834,Ph_pal_siloBC.jpg,Deirdre Bean,Silohuette of growth habit
835,Ph_pal_stembase2.JPG,NC Duke,Stembase characteristics
836,Ph_pal_stembase3.JPG,NC Duke,Stembase characteristics
837,Ph_pal_tree2.JPG,NC Duke,Tree form
838,Ph_pal_tree4.JPG,NC Duke,Tree form
839,Pm_aci_bark1.jpg,NC Duke,Bark characteristics
840,Pm_aci_distribW2.jpg,NC Duke,Distribution in the world
841,Pm_aci_flower2.jpg,NC Duke,Flower features
842,Pm_aci_flower4.JPG,NC Duke,Flower features
843,Pm_aci_fruit2.jpg,NC Duke,Fruit or propagule
844,Pm_aci_leaves1.jpg,NC Duke,Leaf characteristics and shape
845,Pm_aci_phen1.jpg,NC Duke,Months of flowering and fruiting by Latitude
846,Pm_aci_siloB.jpg,Deirdre Bean,Silohuette of growth habit
847,Pm_aci_stembase1.jpg,NC Duke,Stembase characteristics
848,Pm_aci_tree1.jpg,NC Duke,Tree form
849,Pm_aci_tree6A.jpg,NC Duke,Tree form
850,Pm_aci_tree7B.jpg,NC Duke,Tree form
851,Pt_off_bark1.JPG,NC Duke,Bark characteristics
852,Pt_off_distribW2.jpg,NC Duke,Distribution in the world
853,Pt_off_flower1w.jpg,NC Duke,Flower features
854,Pt_off_flower2w.jpg,NC Duke,Flower features
855,Pt_off_fruit1w.jpg,NC Duke,Fruit or propagule
856,Pt_off_leaves2w.jpg,NC Duke,Leaf characteristics and shape
857,Pt_off_siloB.jpg,Deirdre Bean,Silohuette of growth habit
858,Pt_off_stembase1w.jpg,NC Duke,Stembase characteristics
859,Pt_off_stembase4.JPG,NC Duke,Stembase characteristics
860,Pt_off_tree2.JPG,NC Duke,Tree form
861,Pt_off_tree3.JPG,NC Duke,Tree form
862,Pt_off_tree6A.jpg,NC Duke,Tree form
863,Rh_ann_diag6B.jpg,NC Duke,Diagnostic feature
864,Rh_ann_diag26B.jpg,NC Duke,Diagnostic feature
865,Rh_ann_distribW2.jpg,NC Duke,Distribution in the world
866,Rh_ann_flower2.JPG,NC Duke,Flower features
867,Rh_ann_flower3.JPG,NC Duke,Flower features
868,Rh_ann_fruit1.JPG,NC Duke,Fruit or propagule
869,Rh_ann_leaves1.JPG,NC Duke,Leaf characteristics and shape
870,Rh_ann_leaves2.JPG,NC Duke,Leaf characteristics and shape
871,Rh_ann_phen2.jpg,NC Duke,Months of flowering and fruiting by Latitude
872,Rh_ann_siloB.jpg,Deirdre Bean,Silohuette of growth habit
873,Rh_ann_stembase1.JPG,NC Duke,Stembase characteristics
874,Rh_ann_tree1.JPG,NC Duke,Tree form
875,Rh_api_bark2.jpg,NC Duke,Bark characteristics
876,Rh_api_diag1.jpg,NC Duke,Diagnostic feature
877,Rh_api_diag17.JPG,NC Duke,Diagnostic feature
878,Rh_api_distrib2.jpg,NC Duke,Distribution in the world
879,Rh_api_flower1.JPG,NC Duke,Flower features
880,Rh_api_flower6.jpg,NC Duke,Flower features
881,Rh_api_fruit2.JPG,NC Duke,Fruit or propagule
882,Rh_api_leaves3.jpg,NC Duke,Leaf characteristics and shape
883,Rh_api_leaves4.JPG,NC Duke,Leaf characteristics and shape
